Age	Temperature	K_Pg
149.36	-0.19783	0
149.463	-0.19907	0
149.669	-0.20175	0
149.8	-0.20359	0
149.978	-0.20626	0
150.082	-0.20791	0
150.288	-0.21137	0
150.597	-0.21707	0
150.831	-0.22179	0
150.962	-0.22459	0
151.092	-0.22748	0
151.3	-0.23232	0
152.3	-0.2593	0
152.662	-0.2699	0
152.792	-0.27391	0
153.054	-0.28217	0
153.185	-0.28638	0
153.315	-0.29061	0
153.577	-0.29923	0
153.969	-0.31238	0
154.1	-0.31682	0
154.542	-0.3319	0
154.763	-0.33946	0
154.983	-0.34698	0
155.204	-0.3545	0
155.4	-0.36112	0
155.6	-0.36782	0
155.8	-0.37444	0
156	-0.38098	0
156.2	-0.38742	0
156.3	-0.39059	0
156.529	-0.39773	0
156.75	-0.40446	0
157	-0.41182	0
157.15	-0.41612	0
157.35	-0.42166	0
157.5	-0.4257	0
157.633	-0.42917	0
157.74	-0.4319	0
157.85	-0.43463	0
158	-0.43824	0
158.2	-0.44283	0
158.3	-0.44505	0
158.5	-0.44929	0
158.7	-0.45329	0
158.8	-0.45521	0
159.179	-0.46194	0
159.4	-0.46549	0
159.6	-0.46846	0
159.757	-0.47063	0
159.876	-0.47219	0
160.114	-0.47506	0
160.233	-0.47638	0
160.471	-0.47878	0
160.59	-0.47988	0
160.71	-0.48089	0
160.829	-0.48182	0
160.948	-0.48268	0
161.067	-0.48346	0
161.186	-0.48417	0
161.305	-0.4848	0
161.543	-0.48583	0
161.781	-0.48658	0
161.9	-0.48685	0
162.138	-0.48715	0
162.376	-0.48717	0
162.614	-0.4869	0
163.2	-0.48506	0
164	-0.47986	0
165	-0.46482	0
166	-0.44978	0
167	-0.43473	0
167.7	-0.4188	0
168	-0.4114	0
168.3	-0.40365	0
168.7	-0.39281	0
